"","Country","Location","Site","Local_census","Depth_m","Complexity_3pt","Mesozone3","Size_1_fishing","Size_1_other","Size_1_plastics","Size_2_fishing","Size_2_other","Size_2_plastics","Size_3_fishing","Size_3_other","Size_3_plastics","Size_4_fishing","Size_4_other","Size_4_plastics","Size_5_fishing","Size_5_other","Size_5_plastics"
"39","Australia","Coral_sea","Bougainville_SW_2","26",15.3,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Australia","Coral_sea","Bougainville_SW_2","27",14.1,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Australia","Coral_sea","Bougainville_SW_2","3",64.4,"high","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Australia","Coral_sea","Bougainville_SW_2","4",63.8,"high","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Australia","Coral_sea","Bougainville_SW_2","5",63,"high","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Australia","Coral_sea","Bougainville_SW_2","6",58.3,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Australia","Coral_sea","Bougainville_SW_2","7",58.2,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Australia","Coral_sea","Bougainville_SW_2","8",55.3,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Australia","Coral_sea","Bougainville_SW_2","9",53.7,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Australia","Coral_sea","Flinders_South_1","1",35.6,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Australia","Coral_sea","Flinders_South_1","2",37.1,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Australia","Coral_sea","Flinders_South_1","3",42.5,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Australia","Coral_sea","Flinders_South_1","4",34,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","Australia","Coral_sea","Flinders_South_1","5",45.3,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Australia","Coral_sea","Flinders_South_2","6",35.6,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Australia","Coral_sea","Flinders_South_2","7",44.7,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Australia","Coral_sea","Holmes_South_1","1",55,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Australia","Coral_sea","Holmes_South_1","10",34.6,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Australia","Coral_sea","Holmes_South_1","2",52.4,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Australia","Coral_sea","Holmes_South_1","3",52.1,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Australia","Coral_sea","Holmes_South_1","4",55.4,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Australia","Coral_sea","Holmes_South_1","5",46.8,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","Australia","Coral_sea","Holmes_South_1","6",42.6,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","Australia","Coral_sea","Holmes_South_1","7",43,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Australia","Coral_sea","Holmes_South_1","8",36.8,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Australia","Coral_sea","Holmes_South_1","9",36,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","Australia","Coral_sea","Holmes_South_2","1",62.6,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Australia","Coral_sea","Holmes_South_2","10",36.9,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","Australia","Coral_sea","Holmes_South_2","11",34.8,"low","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","Australia","Coral_sea","Holmes_South_2","12",31.2,"low","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Australia","Coral_sea","Holmes_South_2","13",28,"low","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Australia","Coral_sea","Holmes_South_2","2",63.4,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Australia","Coral_sea","Holmes_South_2","3",64.2,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","Australia","Coral_sea","Holmes_South_2","4",63.2,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Australia","Coral_sea","Holmes_South_2","5",62.1,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Australia","Coral_sea","Holmes_South_2","6",56.8,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","Australia","Coral_sea","Holmes_South_2","7",54.4,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","Australia","Coral_sea","Holmes_South_2","8",46.6,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","Australia","Coral_sea","Holmes_South_2","9",45,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Australia","Coral_sea","Lihou_North_1","1",31.3,"low","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","Australia","Coral_sea","Lihou_North_1","10",51.5,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","Australia","Coral_sea","Lihou_North_1","11",55.6,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","Australia","Coral_sea","Lihou_North_1","12",55.1,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","Australia","Coral_sea","Lihou_North_1","2",30.8,"low","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","Australia","Coral_sea","Lihou_North_1","3",33.2,"low","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","Australia","Coral_sea","Lihou_North_1","4",32.2,"low","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","Australia","Coral_sea","Lihou_North_1","5",34.9,"low","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Australia","Coral_sea","Lihou_North_1","6",40.1,"low","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Australia","Coral_sea","Lihou_North_1","7",40.5,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Australia","Coral_sea","Lihou_North_1","8",45.3,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","Australia","Coral_sea","Lihou_North_1","9",50.1,"low","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","Australia","Coral_sea","Osprey_North entrance_1","1",87.4,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Australia","Coral_sea","Osprey_North entrance_1","10",56.6,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","Australia","Coral_sea","Osprey_North entrance_1","11",47,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","Australia","Coral_sea","Osprey_North entrance_1","12",44.7,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","Australia","Coral_sea","Osprey_North entrance_1","13",43.2,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","Australia","Coral_sea","Osprey_North entrance_1","14",55.1,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","Australia","Coral_sea","Osprey_North entrance_1","15",52.6,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","Australia","Coral_sea","Osprey_North entrance_1","16",37.5,"intermediate","Upper",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"98","Australia","Coral_sea","Osprey_North entrance_1","17",36.3,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","Australia","Coral_sea","Osprey_North entrance_1","18",33.5,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","Australia","Coral_sea","Osprey_North entrance_1","19",28.5,"low","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","Australia","Coral_sea","Osprey_North entrance_1","2",85.1,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","Australia","Coral_sea","Osprey_North entrance_1","20",24.9,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","Australia","Coral_sea","Osprey_North entrance_1","21",21.7,"low","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","Australia","Coral_sea","Osprey_North entrance_1","22",18.7,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","Australia","Coral_sea","Osprey_North entrance_1","23",17,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","Australia","Coral_sea","Osprey_North entrance_1","24",14.5,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","Australia","Coral_sea","Osprey_North entrance_1","25",9.1,"low","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","Australia","Coral_sea","Osprey_North entrance_1","26",7.1,"low","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","Australia","Coral_sea","Osprey_North entrance_1","27",7.7,"low","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","Australia","Coral_sea","Osprey_North entrance_1","3",77.2,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","Australia","Coral_sea","Osprey_North entrance_1","4",74.4,"high","Lower",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"112","Australia","Coral_sea","Osprey_North entrance_1","5",81.7,"high","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","Australia","Coral_sea","Osprey_North entrance_1","6",71.9,"high","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","Australia","Coral_sea","Osprey_North entrance_1","7",67.8,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","Australia","Coral_sea","Osprey_North entrance_1","8",65.8,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","Australia","Coral_sea","Osprey_North entrance_1","9",63.5,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","Australia","Coral_sea","Osprey_North entrance_2","28",93.9,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","Australia","Coral_sea","Osprey_North entrance_2","29",93.9,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","Australia","Coral_sea","Osprey_North entrance_2","30",92.5,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","Australia","Coral_sea","Osprey_North entrance_2","31",86.5,"low","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","Australia","Coral_sea","Osprey_North entrance_2","32",84.5,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","Australia","Coral_sea","Osprey_North entrance_2","33",82.5,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","Australia","Coral_sea","Osprey_North entrance_2","34",96.3,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","Australia","Coral_sea","Osprey_North entrance_2","35",91,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","Australia","Coral_sea","Osprey_North entrance_2","36",91.1,"high","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","Australia","Coral_sea","Osprey_North entrance_2","37",90.4,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","Australia","Coral_sea","Osprey_North entrance_2","38",93.8,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128","Australia","Coral_sea","Osprey_North entrance_2","39",77.8,"high","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","Australia","Coral_sea","Osprey_North entrance_2","40",70.9,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","Australia","Coral_sea","Osprey_North entrance_2","41",70.2,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","Australia","Coral_sea","Osprey_North entrance_2","42",66.1,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","Australia","Coral_sea","Osprey_North entrance_2","43",64.7,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","Australia","Coral_sea","Osprey_North entrance_2","44",58.1,"low","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","Australia","Coral_sea","Osprey_North entrance_3","45",64.6,"low","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","Australia","Coral_sea","Osprey_North entrance_3","46",52.8,"low","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","Australia","Coral_sea","Osprey_North entrance_3","47",47.9,"low","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","Australia","Coral_sea","Osprey_North entrance_3","48",44.6,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","Australia","Coral_sea","Osprey_North entrance_3","49",41.7,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","Australia","Coral_sea","Osprey_North entrance_3","50",32.8,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","Australia","Coral_sea","Osprey_North entrance_3","51",34.9,"low","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","Australia","Coral_sea","Osprey_North entrance_3","52",38.1,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","Australia","Coral_sea","Osprey_North entrance_3","53",28.2,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","Australia","Coral_sea","Osprey_North entrance_3","54",25.4,"low","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","Australia","Coral_sea","Osprey_North entrance_3","55",23.7,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","Australia","Coral_sea","Osprey_North entrance_3","56",18.7,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","Australia","Coral_sea","Osprey_North entrance_3","57",15.5,"low","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","Australia","Coral_sea","Osprey_North entrance_3","58",12.9,"low","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","Australia","Coral_sea","Osprey_North entrance_3","59",5.3,"low","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","Australia","Coral_sea","Osprey_North entrance_3","60",7.3,"low","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150","Australia","Coral_sea","Osprey_North entrance_3","61",9.2,"low","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","Australia","Coral_sea","Osprey_North Horn_1","1",47.7,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","Australia","Coral_sea","Osprey_North Horn_1","10",12.9,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","Australia","Coral_sea","Osprey_North Horn_1","11",16.5,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","Australia","Coral_sea","Osprey_North Horn_1","12",18.3,"high","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Australia","Coral_sea","Osprey_North Horn_1","13",9.4,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","Australia","Coral_sea","Osprey_North Horn_1","14",7.4,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","Australia","Coral_sea","Osprey_North Horn_1","15",6.3,"high","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","Australia","Coral_sea","Osprey_North Horn_1","2",44.7,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","Australia","Coral_sea","Osprey_North Horn_1","3",42.3,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","Australia","Coral_sea","Osprey_North Horn_1","4",32.6,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","Australia","Coral_sea","Osprey_North Horn_1","5",35.1,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","Australia","Coral_sea","Osprey_North Horn_1","6",38,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","Australia","Coral_sea","Osprey_North Horn_1","7",28,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","Australia","Coral_sea","Osprey_North Horn_1","8",25.3,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","Australia","Coral_sea","Osprey_North Horn_1","9",23.2,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","Australia","Coral_sea","Osprey_North Horn_2","16",48,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","Australia","Coral_sea","Osprey_North Horn_2","17",44.3,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","Australia","Coral_sea","Osprey_North Horn_2","18",36.9,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","Australia","Coral_sea","Osprey_North Horn_2","19",33.2,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Australia","Coral_sea","Osprey_North Horn_2","20",27.4,"high","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","Australia","Coral_sea","Osprey_North Horn_2","21",21.4,"high","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","Australia","Coral_sea","Osprey_North Horn_2","22",17.6,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173","Australia","Coral_sea","Osprey_North Horn_2","23",14.1,"high","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","Australia","Coral_sea","Osprey_North Horn_2","24",6.6,"high","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","Australia","Coral_sea","Osprey_North Horn_2","25",8.6,"high","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","Australia","Coral_sea","Osprey_North wall_3","1",97.4,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","Australia","Coral_sea","Osprey_North wall_3","10",68,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"178","Australia","Coral_sea","Osprey_North wall_3","11",64.1,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"179","Australia","Coral_sea","Osprey_North wall_3","12",61.4,"high","Lower",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"180","Australia","Coral_sea","Osprey_North wall_3","13",52.3,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","Australia","Coral_sea","Osprey_North wall_3","14",54.6,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","Australia","Coral_sea","Osprey_North wall_3","15",59,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","Australia","Coral_sea","Osprey_North wall_3","2",87.6,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184","Australia","Coral_sea","Osprey_North wall_3","3",94.1,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","Australia","Coral_sea","Osprey_North wall_3","4",90.6,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","Australia","Coral_sea","Osprey_North wall_3","5",83.9,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187","Australia","Coral_sea","Osprey_North wall_3","6",80.6,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","Australia","Coral_sea","Osprey_North wall_3","7",71.6,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","Australia","Coral_sea","Osprey_North wall_3","8",74.1,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"190","Australia","Coral_sea","Osprey_North wall_3","9",77,"intermediate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","Australia","Coral_sea","Osprey_South_1","1",57.7,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","Australia","Coral_sea","Osprey_South_1","10",18.4,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","Australia","Coral_sea","Osprey_South_1","11",8.5,"low","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194","Australia","Coral_sea","Osprey_South_1","12",6.5,"intermediate","Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195","Australia","Coral_sea","Osprey_South_1","2",55.7,"intermediate","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","Australia","Coral_sea","Osprey_South_1","3",46.2,"high","Upper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
