"","Date","Contributors","Ocean","Province","Country","Location","Lat_locat_center","Lon_locat_center","Local_census","Length_m","Area_m2","Site","Lat_site","Lon_site","Depth_m","Mesozones2_30m","Trash_group","Trash_count","MPA","Managed_area","Site_split_MPA","Nearest_MPA_Lat","Nearest_MPA_Lon","Nearest_Market_Lat","Nearest_Market_Lon","Economic.status1","Coastal.population2","Waste.generation.rate..kg.person.day.3","X..Plastic.in.waste.stream4","X..Inadequately.managed.waste5","X..Littered.waste6","Waste.generation..kg.day.7","Plastic.waste.generation..kg.day.7","Inadequately.managed.plastic.waste..kg.day.7","Plastic.waste.littered...kg.day.7","Mismanaged.plastic.waste..kg.person.day.7","Mismanaged.plastic.waste.in.2025...tonnes.7","ID_transect","Complexity_3pt","Lat","Lon","Depth_m.1","Mesophotic.zones2","Managed_Area","Trash_per_m2","Meso_zone2","Meso_zone3","Coastline_km","Depth_m_scaled","Dist_MPA","Dist_Market","Mismanaged_2010","Mismanaged_pop100Km_2010","Mismanaged_plastic_pop10Km_2010_Tons","Pop10Km","Pop100Km","Reefarea_pop100","Coral_reef_Km2"
"11","10_27_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"33",20,40,"ponta_norte",-3.808983333,-32.36773889,7.6,"Shallow","fishing",0,"yes","National Park",0,-3.808983333,-32.36773889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"916","high",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-1.00703446259116,-0.350259138992775,-0.717590745316094,0.473016428827024,-0.322769846076702,-0.372863255405227,-0.489648904539503,-0.322505208956709,-0.510509534415299,-0.565347050812477
"12","10_27_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"34",20,40,"ponta_norte",-3.808983333,-32.36773889,7.6,"Shallow","fishing",0,"yes","National Park",0,-3.808983333,-32.36773889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"917","high",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-1.00703446259116,-0.350259138992775,-0.717590745316094,0.473016428827024,-0.322769846076702,-0.372863255405227,-0.489648904539503,-0.322505208956709,-0.510509534415299,-0.565347050812477
"13","10_27_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"35",20,40,"ponta_norte",-3.808983333,-32.36773889,7.6,"Shallow","fishing",0,"yes","National Park",0,-3.808983333,-32.36773889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"918","high",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-1.00703446259116,-0.350259138992775,-0.717590745316094,0.473016428827024,-0.322769846076702,-0.372863255405227,-0.489648904539503,-0.322505208956709,-0.510509534415299,-0.565347050812477
"14","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"45",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,6.1,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"928","low",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-1.04797133567454,-0.350259138992775,-0.69362851387746,0.473016428827024,-0.322769846076702,-0.373524274723551,-0.49222841653624,-0.322505208956709,-0.510509534415299,-0.565347050812477
"15","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"46",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,6.1,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"929","low",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-1.04797133567454,-0.350259138992775,-0.69362851387746,0.473016428827024,-0.322769846076702,-0.373524274723551,-0.49222841653624,-0.322505208956709,-0.510509534415299,-0.565347050812477
"16","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"47",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,6.1,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"930","low",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-1.04797133567454,-0.350259138992775,-0.69362851387746,0.473016428827024,-0.322769846076702,-0.373524274723551,-0.49222841653624,-0.322505208956709,-0.510509534415299,-0.565347050812477
"17","10_23_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"48",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,6.1,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"931","low",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-1.04797133567454,-0.350259138992775,-0.69362851387746,0.473016428827024,-0.322769846076702,-0.373524274723551,-0.49222841653624,-0.322505208956709,-0.510509534415299,-0.565347050812477
"18","10_26_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"50",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,9.1,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"933","intermediate",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-0.966097589507784,-0.350259138992775,-0.69362851387746,0.473016428827024,-0.322769846076702,-0.373524274723551,-0.49222841653624,-0.322505208956709,-0.510509534415299,-0.565347050812477
"19","10_26_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"51",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,7.6,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"934","intermediate",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-1.00703446259116,-0.350259138992775,-0.69362851387746,0.473016428827024,-0.322769846076702,-0.373524274723551,-0.49222841653624,-0.322505208956709,-0.510509534415299,-0.565347050812477
"20","10_26_2019","CAS","Atlantic","SWA","Brazil","Fernando_de_Noronha",-3.855304514,-32.44588299,"52",20,40,"sapata_(hudsons_wall)",-3.886488889,-32.47448889,6.7,"Shallow","fishing",0,"yes","National Park",0,-3.886488889,-32.47448889,-3.846543,-32.413243,"UMI",74696771,1.03,16,9,2,76937674,12271559,1046087,245431,0.017,954198,"935","low",NA,NA,NA,NA,NA,0,"Shallow","Shallow",NA,-1.03159658644119,-0.350259138992775,-0.69362851387746,0.473016428827024,-0.322769846076702,-0.373524274723551,-0.49222841653624,-0.322505208956709,-0.510509534415299,-0.565347050812477
